title,author
Fear of Flying,Erica Jong
Sunset Express,Robert Crais
The Crystal Cave,Mary  Stewart
The Blade Itself,Joe Abercrombie
Red Storm Rising,Tom Clancy
Sweetheart,Chelsea Cain
My Blood Approves,Amanda Hocking
The BFG,"Roald Dahl, Quentin Blake"
River God,Wilbur Smith
Owen,Kevin Henkes
The Hollow,Nora Roberts
The Hit,David Baldacci
Strangers in Death ,J.D. Robb
Ten Tiny Breaths,K.A. Tucker
Living Dead Girl,Elizabeth Scott
Blockade Billy,Stephen King
Chasing Harry Winston,Lauren Weisberger
MEG: A Novel of Deep Terror,Steve Alten
The Fog,James Herbert
Belong to Me,Marisa de los Santos
Dragonsinger,Anne McCaffrey
To Have and to Hold ,Jane Green
The Best Man,Kristan Higgins
Maine,J. Courtney Sullivan
The Overlook,Michael Connelly
Babyville,Jane Green
Olympos,Dan Simmons
John Dies at the End,David Wong
Black Cherry Blues,James Lee Burke
Succubus On Top,Richelle Mead
Honolulu,Alan Brennert
Dreamland ,Sarah Dessen
Victims,Jonathan Kellerman
A Midsummer's Nightmare,Kody Keplinger
Midnight's Children,Salman Rushdie
Stars Above,Marissa Meyer
Magic Slays,Ilona Andrews
The Son of Neptune ,Rick Riordan
Prior Bad Acts,Tami Hoag
All Tomorrow's Parties,William Gibson
Angel Falls,Kristin Hannah
The Green Mile,Stephen King
Asylum,Madeleine Roux
The Haj,Leon Uris
Divine Justice,David Baldacci
Sea of Silver Light,Tad Williams
The Awakening,L.J. Smith
The Great Hunt,Robert Jordan
Double Fudge,Judy Blume
Eligible,Curtis Sittenfeld
The Dot,Peter H. Reynolds
Unnatural Exposure,Patricia Cornwell
One Good Turn,Kate Atkinson
Glass Houses,Rachel Caine
The Johnstown Flood,David McCullough
The Nature of the Beast,Louise Penny
The Gemini Contenders,Robert Ludlum
Lost Souls,Poppy Z. Brite
My Sister's Keeper,Jodi Picoult
Icy Sparks,Gwyn Hyman Rubio
Street Magic,Tamora Pierce
Think of a Number,John Verdon
M Train,Patti Smith
Straight Man,Richard Russo
"Cry, The Beloved Country",Alan Paton
Night Probe!,Clive Cussler
